1z3m,17.2,16.6,3.5,2.2
1but,0.0,0.0,6.9,8.1
1fpn,7.4,5.4,12.7,13.3
4b8w,1.5,1.2,11.6,10.4
1t1x,3.7,3.3,7.3,8.5
1gpw,20.9,16.8,20.8,26.9
1kea,9.1,7.4,6.5,5.0
3qxo,9.7,7.7,6.2,6.8
1f76,6.3,6.2,28.8,30.0
4e7o,10.1,8.3,5.3,5.0
3tff,29.5,18.6,9.4,10.3
1rej,2.7,1.7,6.5,6.8
3qvu,16.7,13.6,13.9,12.6
3um0,15.5,11.3,7.4,7.2
2iwp,3.6,4.0,4.0,3.0
1rq4,6.7,5.2,9.8,11.1
3zn7,37.7,35.4,136.2,159.6
1jro,26.9,16.9,73.2,87.0
2i4h,7.0,4.1,7.6,6.3
1qse,25.0,21.3,13.0,14.2
1m2p,5.8,4.4,6.9,7.3
3fw6,7.8,6.4,9.2,11.7
2q4i,30.1,14.7,92.2,133.5
2kx0,5.3,0.0,30.9,32.3
1jk0,16.8,13.5,10.2,12.1
2dpt,13.7,11.9,8.1,9.0
2o14,4.4,3.9,6.9,7.9
3oia,4.2,2.9,14.1,10.0
4l45,13.6,9.9,6.2,5.6
2chd,11.4,10.8,4.4,2.6
1i5l,23.5,19.0,16.0,16.6
3d96,1.9,3.2,7.4,5.9
3fau,10.8,8.0,6.2,6.3
2aix,7.8,6.3,5.5,5.8
1ea3,20.6,16.5,6.0,6.1
1es6,9.8,7.3,5.4,5.1
1avg,9.5,7.4,8.5,8.0
1e4l,6.4,5.6,19.1,28.6
1a5y,8.1,6.3,7.3,7.2
1lbz,25.8,26.7,10.8,13.7
1ukk,3.9,4.8,8.8,7.2
3ekh,1.5,1.9,12.5,10.0
1wzw,7.6,4.0,5.2,3.9
1be7,1.2,1.3,2.9,1.2
3exq,8.9,4.1,5.0,4.0
1o3k,1.6,1.8,7.9,5.8
1wh6,1.6,0.0,31.5,32.3
1ho0,5.9,0.0,12.0,7.1
3mkw,18.9,15.7,7.3,8.4
2w4z,18.7,13.7,8.4,7.0
3ng9,14.0,11.3,80.1,102.9
1bso,3.3,1.9,5.3,3.2
4fot,7.0,5.7,5.6,5.1
2cud,33.7,11.4,24.0,24.0
4lor,2.9,1.4,8.9,5.2
4jub,2.2,1.7,46.1,45.7
2y1j,2.6,1.9,10.7,12.1
4lc0,2.3,1.6,9.7,8.6
1rks,5.4,3.3,6.0,5.7
1lyg,6.1,4.2,4.1,3.5
3d02,8.0,9.2,8.5,8.3
3txm,10.2,6.2,6.5,6.2
4g78,21.6,17.1,5.0,4.0
3ng5,3.8,3.5,5.8,4.7
3q2x,10.4,0.0,1.5,0.1
1a7b,22.5,8.8,7.0,6.4
2f8n,20.0,17.8,20.8,27.5
4bba,0.5,0.3,13.8,13.7
2i7g,11.6,9.5,19.2,18.9
4acr,4.2,2.2,24.8,28.5
2dab,4.0,1.3,9.7,10.6
3pm0,23.3,18.8,8.4,9.1
2hl5,7.5,5.7,6.4,5.3
